2022-07-08 13:12:19,071: Button.left
2022-07-08 13:12:19,436: Button.left
2022-07-08 13:12:19,614: Button.left
2022-07-08 13:12:19,833: Button.right
2022-07-08 13:12:20,114: Button.left
2022-07-08 13:12:20,271: Button.left
2022-07-08 13:12:20,431: Button.left
2022-07-08 13:12:20,589: Button.left
2022-07-08 13:12:20,767: Button.left
2022-07-08 13:12:20,971: Button.left
2022-07-08 13:12:21,237: Button.left
2022-07-08 13:12:21,461: Button.left
2022-07-08 13:12:21,670: Button.left
2022-07-08 13:12:21,912: Button.right
2022-07-08 13:12:22,062: Button.right
2022-07-08 13:12:22,319: Button.right
2022-07-08 13:12:22,652: Button.right
2022-07-08 13:12:22,873: Button.right
2022-07-08 13:12:23,034: Button.right
2022-07-08 13:12:23,191: Button.right
2022-07-08 13:12:23,368: Button.right
2022-07-08 13:12:23,542: Button.right
2022-07-08 13:12:24,719: Button.left
2022-07-08 13:12:25,224: Button.left
2022-07-08 13:12:25,343: Button.left
2022-07-08 13:12:25,535: Button.left
2022-07-08 13:12:25,669: Button.left
2022-07-08 13:12:25,855: Button.left
2022-07-08 13:12:25,989: Button.left
2022-07-08 13:12:26,129: Button.left
2022-07-08 13:12:26,261: Button.left
2022-07-08 13:12:26,394: Button.left
2022-07-08 13:12:26,565: Button.left
2022-07-08 13:12:26,745: Button.left
2022-07-08 13:12:26,893: Button.left
2022-07-08 13:12:27,078: Button.left
2022-07-08 13:12:27,235: Button.left
2022-07-08 13:12:27,377: Button.left
2022-07-08 13:12:27,517: Button.left
2022-07-08 13:12:27,665: Button.left
2022-07-08 13:12:27,797: Button.left
2022-07-08 13:12:27,945: Button.left
2022-07-08 13:12:28,076: Button.left
2022-07-08 13:12:28,217: Button.left
2022-07-08 13:12:28,357: Button.left
2022-07-08 13:12:28,491: Button.left
2022-07-08 13:12:28,631: Button.left
2022-07-08 13:12:28,778: Button.left
2022-07-08 13:12:28,919: Button.left
2022-07-08 13:12:29,058: Button.left
2022-07-08 13:12:29,207: Button.left
2022-07-08 13:12:29,355: Button.left
2022-07-08 13:12:29,503: Button.left
2022-07-08 13:12:29,659: Button.left
2022-07-08 13:12:29,806: Button.left
2022-07-08 13:12:29,970: Button.left
2022-07-08 13:12:30,111: Button.left
2022-07-08 13:12:30,267: Button.left
2022-07-08 13:12:30,423: Button.left
2022-07-08 13:12:30,579: Button.left
2022-07-08 13:12:30,720: Button.left
2022-07-08 13:12:30,859: Button.left
2022-07-08 13:12:31,468: Button.left
2022-07-08 13:12:31,822: Button.left
2022-07-08 13:12:33,275: Button.left
2022-07-08 13:12:33,818: Button.left
2022-07-08 13:12:33,961: Button.left
2022-07-08 13:12:34,132: Button.left
2022-07-08 13:12:34,405: Button.left
2022-07-08 13:12:34,553: Button.left
2022-07-08 13:12:34,701: Button.left
2022-07-08 13:12:34,857: Button.left
2022-07-08 13:12:35,043: Button.left
2022-07-08 13:12:35,193: Button.left
2022-07-08 13:12:35,333: Button.left
2022-07-08 13:12:36,134: Button.left
2022-07-08 13:12:36,546: Button.left
2022-07-08 13:12:36,697: Button.left
2022-07-08 13:12:36,896: Button.left
2022-07-08 13:12:37,125: Button.left
2022-07-08 13:12:37,303: Button.left
2022-07-08 13:12:37,467: Button.left
2022-07-08 13:12:37,623: Button.left
2022-07-08 13:12:37,771: Button.left
2022-07-08 13:12:37,935: Button.left
2022-07-08 13:12:38,107: Button.left
2022-07-08 13:12:38,629: Button.left
2022-07-08 13:12:38,954: Button.left
2022-07-08 13:12:39,111: Button.left
2022-07-08 13:12:39,275: Button.left
2022-07-08 13:12:39,423: Button.left
2022-07-08 13:12:39,549: Button.left
2022-07-08 13:12:39,705: Button.left
2022-07-08 13:12:39,867: Button.left
